name,duration,play_count,popularity_score,creation_date
"Song of the Wild",3.45,1500,87.5,2024-01-01
"Echoes of Eternity",4.12,2500,92.3,2024-01-05
"Midnight Serenade",3.30,1800,85.4,2024-02-01
"Sunrise Symphony",5.00,3000,95.0,2024-02-15
"Crystal Dreams",3.75,1200,80.1,2024-03-01
"Path of Legends",4.25,2200,89.7,2024-03-10
"Skyline Melodies",4.00,1900,84.6,2024-03-20
"Moonlit Shadows",3.15,1300,82.3,2024-04-05
"Rhythm of the Rain",3.90,2700,91.2,2024-04-15
"Golden Horizon",4.50,3100,96.4,2024-05-01
"Dance of the Fireflies",3.60,2000,88.9,2024-05-10
"Whispers in the Wind",4.10,2400,90.8,2024-05-25
